,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,C08,SYBR,,Unkn,,,25.39,25.39,0.000,,,,0.00000,72.0,
,C09,SYBR,,Unkn,,,25.70,25.70,0.000,,,,0.00000,72.0,
,C10,SYBR,,Unkn,,,23.22,23.22,0.000,,,,0.00000,72.0,
,C11,SYBR,,Unkn,,,23.18,23.18,0.000,,,,0.00000,72.0,
,C12,SYBR,,Unkn,,,23.22,23.22,0.000,,,,0.00000,72.0,
,D01,SYBR,,Unkn,,,25.16,25.16,0.000,,,,0.00000,72.0,
,D02,SYBR,,Unkn,,,24.99,24.99,0.000,,,,0.00000,72.0,
,D03,SYBR,,Unkn,,,24.94,24.94,0.000,,,,0.00000,72.0,
,D04,SYBR,,Unkn,,,24.88,24.88,0.000,,,,0.00000,72.0,
,D05,SYBR,,Unkn,,,24.94,24.94,0.000,,,,0.00000,72.0,
,D06,SYBR,,Unkn,,,25.65,25.65,0.000,,,,0.00000,72.0,
,D07,SYBR,,Unkn,,,24.26,24.26,0.000,,,,0.00000,72.0,
,D08,SYBR,,Unkn,,,24.42,24.42,0.000,,,,0.00000,72.0,
,D09,SYBR,,Unkn,,,24.26,24.26,0.000,,,,0.00000,72.0,
,D10,SYBR,,Unkn,,,24.86,24.86,0.000,,,,0.00000,72.0,
,D11,SYBR,,Unkn,,,24.72,24.72,0.000,,,,0.00000,72.0,
,D12,SYBR,,Unkn,,,25.02,25.02,0.000,,,,0.00000,72.0,
,E01,SYBR,,Unkn,,,25.24,25.24,0.000,,,,0.00000,72.0,
,E02,SYBR,,Unkn,,,25.14,25.14,0.000,,,,0.00000,72.0,
,E03,SYBR,,Unkn,,,24.99,24.99,0.000,,,,0.00000,72.0,
,E04,SYBR,,Unkn,,,22.56,22.56,0.000,,,,0.00000,72.0,
,E05,SYBR,,Unkn,,,22.66,22.66,0.000,,,,0.00000,72.0,
,E06,SYBR,,Unkn,,,22.26,22.26,0.000,,,,0.00000,72.0,
,E07,SYBR,,Unkn,,,24.24,24.24,0.000,,,,0.00000,72.0,
,E08,SYBR,,Unkn,,,24.13,24.13,0.000,,,,0.00000,72.0,
,E09,SYBR,,Unkn,,,24.23,24.23,0.000,,,,0.00000,72.0,
,E10,SYBR,,Unkn,,,22.72,22.72,0.000,,,,0.00000,72.0,
,E11,SYBR,,Unkn,,,22.71,22.71,0.000,,,,0.00000,72.0,
,E12,SYBR,,Unkn,,,22.48,22.48,0.000,,,,0.00000,72.0,
,F01,SYBR,,Unkn,,,25.22,25.22,0.000,,,,0.00000,72.0,
,F02,SYBR,,Unkn,,,25.17,25.17,0.000,,,,0.00000,72.0,
,F03,SYBR,,Unkn,,,25.07,25.07,0.000,,,,0.00000,72.0,
,F04,SYBR,,Unkn,,,26.24,26.24,0.000,,,,0.00000,72.0,
,F05,SYBR,,Unkn,,,25.93,25.93,0.000,,,,0.00000,72.0,
,F06,SYBR,,Unkn,,,26.12,26.12,0.000,,,,0.00000,72.0,
,F07,SYBR,,Unkn,,,24.73,24.73,0.000,,,,0.00000,72.0,
,F08,SYBR,,Unkn,,,24.87,24.87,0.000,,,,0.00000,72.0,
,F09,SYBR,,Unkn,,,25.03,25.03,0.000,,,,0.00000,72.0,
,F10,SYBR,,Unkn,,,26.37,26.37,0.000,,,,0.00000,72.0,
,F11,SYBR,,Unkn,,,26.35,26.35,0.000,,,,0.00000,72.0,
,F12,SYBR,,Unkn,,,26.40,26.40,0.000,,,,0.00000,72.0,
,G01,SYBR,,Unkn,,,26.33,26.33,0.000,,,,0.00000,72.0,
,G02,SYBR,,Unkn,,,26.46,26.46,0.000,,,,0.00000,72.0,
,G03,SYBR,,Unkn,,,26.28,26.28,0.000,,,,0.00000,72.0,
,G04,SYBR,,Unkn,,,25.01,25.01,0.000,,,,0.00000,72.0,
,G05,SYBR,,Unkn,,,25.15,25.15,0.000,,,,0.00000,72.0,
,G06,SYBR,,Unkn,,,25.11,25.11,0.000,,,,0.00000,72.0,
,G07,SYBR,,Unkn,,,26.62,26.62,0.000,,,,0.00000,72.0,
,G08,SYBR,,Unkn,,,26.48,26.48,0.000,,,,0.00000,72.0,
,G09,SYBR,,Unkn,,,26.49,26.49,0.000,,,,0.00000,72.0,
,G10,SYBR,,Unkn,,,25.41,25.41,0.000,,,,0.00000,72.0,
,G11,SYBR,,Unkn,,,25.33,25.33,0.000,,,,0.00000,72.0,
,G12,SYBR,,Unkn,,,25.46,25.46,0.000,,,,0.00000,72.0,
,H01,SYBR,,Unkn,,,24.73,24.73,0.000,,,,0.00000,72.0,
,H02,SYBR,,Unkn,,,23.94,23.94,0.000,,,,0.00000,72.0,
,H03,SYBR,,Unkn,,,23.73,23.73,0.000,,,,0.00000,72.0,
,H04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H07,SYBR,,Unkn,,,24.21,24.21,0.000,,,,0.00000,72.0,
,H08,SYBR,,Unkn,,,24.08,24.08,0.000,,,,0.00000,72.0,
,H09,SYBR,,Unkn,,,24.38,24.38,0.000,,,,0.00000,72.0,
,H10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
