,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,17.75,17.75,0.000,,,,0.00000,72.0,
,A02,SYBR,,Unkn,,,17.57,17.57,0.000,,,,0.00000,72.0,
,A03,SYBR,,Unkn,,,17.46,17.46,0.000,,,,0.00000,72.0,
,A04,SYBR,,Unkn,,,22.80,22.80,0.000,,,,0.00000,72.0,
,A05,SYBR,,Unkn,,,22.85,22.85,0.000,,,,0.00000,72.0,
,A06,SYBR,,Unkn,,,22.71,22.71,0.000,,,,0.00000,72.0,
,A07,SYBR,,Unkn,,,17.44,17.44,0.000,,,,0.00000,72.0,
,A08,SYBR,,Unkn,,,17.49,17.49,0.000,,,,0.00000,72.0,
,A09,SYBR,,Unkn,,,17.27,17.27,0.000,,,,0.00000,72.0,
,A10,SYBR,,Unkn,,,23.25,23.25,0.000,,,,0.00000,72.0,
,A11,SYBR,,Unkn,,,22.20,22.20,0.000,,,,0.00000,72.0,
,A12,SYBR,,Unkn,,,22.42,22.42,0.000,,,,0.00000,72.0,
,B01,SYBR,,Unkn,,,21.48,21.48,0.000,,,,0.00000,72.0,
,B02,SYBR,,Unkn,,,21.41,21.41,0.000,,,,0.00000,72.0,
,B03,SYBR,,Unkn,,,21.33,21.33,0.000,,,,0.00000,72.0,
,B04,SYBR,,Unkn,,,24.26,24.26,0.000,,,,0.00000,72.0,
,B05,SYBR,,Unkn,,,24.38,24.38,0.000,,,,0.00000,72.0,
,B06,SYBR,,Unkn,,,24.22,24.22,0.000,,,,0.00000,72.0,
,B07,SYBR,,Unkn,,,25.41,25.41,0.000,,,,0.00000,72.0,
,B08,SYBR,,Unkn,,,25.43,25.43,0.000,,,,0.00000,72.0,
,B09,SYBR,,Unkn,,,25.20,25.20,0.000,,,,0.00000,72.0,
,B10,SYBR,,Unkn,,,25.15,25.15,0.000,,,,0.00000,72.0,
,B11,SYBR,,Unkn,,,25.13,25.13,0.000,,,,0.00000,72.0,
,B12,SYBR,,Unkn,,,25.00,25.00,0.000,,,,0.00000,72.0,
,C01,SYBR,,Unkn,,,25.75,25.75,0.000,,,,0.00000,72.0,
,C02,SYBR,,Unkn,,,25.73,25.73,0.000,,,,0.00000,72.0,
,C03,SYBR,,Unkn,,,25.54,25.54,0.000,,,,0.00000,72.0,
,C04,SYBR,,Unkn,,,23.43,23.43,0.000,,,,0.00000,72.0,
,C05,SYBR,,Unkn,,,23.55,23.55,0.000,,,,0.00000,72.0,
,C06,SYBR,,Unkn,,,23.48,23.48,0.000,,,,0.00000,72.0,
,C07,SYBR,,Unkn,,,25.80,25.80,0.000,,,,0.00000,72.0,
,C08,SYBR,,Unkn,,,25.73,25.73,0.000,,,,0.00000,72.0,
,C09,SYBR,,Unkn,,,25.73,25.73,0.000,,,,0.00000,72.0,
,C10,SYBR,,Unkn,,,24.06,24.06,0.000,,,,0.00000,72.0,
,C11,SYBR,,Unkn,,,23.79,23.79,0.000,,,,0.00000,72.0,
,C12,SYBR,,Unkn,,,23.82,23.82,0.000,,,,0.00000,72.0,
,D01,SYBR,,Unkn,,,24.91,24.91,0.000,,,,0.00000,72.0,
,D02,SYBR,,Unkn,,,24.72,24.72,0.000,,,,0.00000,72.0,
,D03,SYBR,,Unkn,,,25.01,25.01,0.000,,,,0.00000,72.0,
,D04,SYBR,,Unkn,,,25.44,25.44,0.000,,,,0.00000,72.0,
,D05,SYBR,,Unkn,,,25.28,25.28,0.000,,,,0.00000,72.0,
,D06,SYBR,,Unkn,,,25.26,25.26,0.000,,,,0.00000,72.0,
,D07,SYBR,,Unkn,,,26.95,26.95,0.000,,,,0.00000,72.0,
,D08,SYBR,,Unkn,,,26.78,26.78,0.000,,,,0.00000,72.0,
,D09,SYBR,,Unkn,,,26.59,26.59,0.000,,,,0.00000,72.0,
,D10,SYBR,,Unkn,,,25.86,25.86,0.000,,,,0.00000,72.0,
,D11,SYBR,,Unkn,,,25.61,25.61,0.000,,,,0.00000,72.0,
,D12,SYBR,,Unkn,,,26.06,26.06,0.000,,,,0.00000,72.0,
,E01,SYBR,,Unkn,,,25.01,25.01,0.000,,,,0.00000,72.0,
,E02,SYBR,,Unkn,,,24.88,24.88,0.000,,,,0.00000,72.0,
,E03,SYBR,,Unkn,,,24.70,24.70,0.000,,,,0.00000,72.0,
,E04,SYBR,,Unkn,,,23.19,23.19,0.000,,,,0.00000,72.0,
,E05,SYBR,,Unkn,,,23.28,23.28,0.000,,,,0.00000,72.0,
,E06,SYBR,,Unkn,,,23.28,23.28,0.000,,,,0.00000,72.0,
,E07,SYBR,,Unkn,,,25.31,25.31,0.000,,,,0.00000,72.0,
,E08,SYBR,,Unkn,,,25.22,25.22,0.000,,,,0.00000,72.0,
,E09,SYBR,,Unkn,,,25.28,25.28,0.000,,,,0.00000,72.0,
,E10,SYBR,,Unkn,,,23.13,23.13,0.000,,,,0.00000,72.0,
,E11,SYBR,,Unkn,,,23.05,23.05,0.000,,,,0.00000,72.0,
,E12,SYBR,,Unkn,,,23.09,23.09,0.000,,,,0.00000,72.0,
,F01,SYBR,,Unkn,,,25.95,25.95,0.000,,,,0.00000,72.0,
,F02,SYBR,,Unkn,,,25.77,25.77,0.000,,,,0.00000,72.0,
,F03,SYBR,,Unkn,,,25.75,25.75,0.000,,,,0.00000,72.0,
,F04,SYBR,,Unkn,,,27.07,27.07,0.000,,,,0.00000,72.0,
,F05,SYBR,,Unkn,,,27.01,27.01,0.000,,,,0.00000,72.0,
,F06,SYBR,,Unkn,,,26.90,26.90,0.000,,,,0.00000,72.0,
,F07,SYBR,,Unkn,,,26.13,26.13,0.000,,,,0.00000,72.0,
,F08,SYBR,,Unkn,,,26.08,26.08,0.000,,,,0.00000,72.0,
,F09,SYBR,,Unkn,,,26.14,26.14,0.000,,,,0.00000,72.0,
,F10,SYBR,,Unkn,,,27.02,27.02,0.000,,,,0.00000,72.0,
,F11,SYBR,,Unkn,,,27.09,27.09,0.000,,,,0.00000,72.0,
,F12,SYBR,,Unkn,,,27.18,27.18,0.000,,,,0.00000,72.0,
,G01,SYBR,,Unkn,,,27.75,27.75,0.000,,,,0.00000,72.0,
,G02,SYBR,,Unkn,,,27.76,27.76,0.000,,,,0.00000,72.0,
,G03,SYBR,,Unkn,,,27.47,27.47,0.000,,,,0.00000,72.0,
,G04,SYBR,,Unkn,,,25.54,25.54,0.000,,,,0.00000,72.0,
,G05,SYBR,,Unkn,,,25.54,25.54,0.000,,,,0.00000,72.0,
,G06,SYBR,,Unkn,,,25.56,25.56,0.000,,,,0.00000,72.0,
,G07,SYBR,,Unkn,,,27.07,27.07,0.000,,,,0.00000,72.0,
,G08,SYBR,,Unkn,,,27.20,27.20,0.000,,,,0.00000,72.0,
,G09,SYBR,,Unkn,,,27.21,27.21,0.000,,,,0.00000,72.0,
,G10,SYBR,,Unkn,,,25.37,25.37,0.000,,,,0.00000,72.0,
,G11,SYBR,,Unkn,,,25.49,25.49,0.000,,,,0.00000,72.0,
,G12,SYBR,,Unkn,,,25.57,25.57,0.000,,,,0.00000,72.0,
,H01,SYBR,,Unkn,,,24.97,24.97,0.000,,,,0.00000,72.0,
,H02,SYBR,,Unkn,,,24.43,24.43,0.000,,,,0.00000,72.0,
,H03,SYBR,,Unkn,,,24.51,24.51,0.000,,,,0.00000,72.0,
,H04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H07,SYBR,,Unkn,,,25.05,25.05,0.000,,,,0.00000,72.0,
,H08,SYBR,,Unkn,,,25.09,25.09,0.000,,,,0.00000,72.0,
,H09,SYBR,,Unkn,,,25.11,25.11,0.000,,,,0.00000,72.0,
,H10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
